"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"61560","IL","Ottawa-Peru","Putnam County","Putnam",15965,1234,-0.00242522231204527,-0.0056406124093473,-0.0366900858704137,603
2019-01-31,"50447","IA",,"Hancock County","Kanawha",15966,749,-0.0105680317040951,-0.0385109114249037,0.0107962213225371,496
2019-01-31,"20692","MD","California-Lexington Park","Saint Marys County","Valley Lee",15967,1700,0.0216346153846154,0.0605115408608858,0.0340632603406326,430
2019-01-31,"01368","MA","Worcester","Worcester County","Royalston",15968,1369,0,0.0170876671619614,-0.0263157894736842,542
2019-01-31,"93664","CA","Fresno","Fresno County","Shaver Lake",15969,1876,-0.0188284518828452,-0.053958648512355,-0.00688194812069878,460
2019-01-31,"16836","PA","DuBois","Clearfield County","Girard",15970,951,0,0.00316455696202532,0.00741525423728814,576
2019-01-31,"22738","VA","Charlottesville","Greene County","Barboursville",15971,1389,0.00944767441860465,0.0319465081723626,0.0342516753536858,401
2019-01-31,"03243","NH","Concord","Merrimack County","Hill",15972,1358,0,0.0119225037257824,0.170689655172414,431
2019-01-31,"36511","AL","Daphne-Fairhope-Foley","Baldwin County","Bon Secour",15973,1374,0.0102941176470588,0.0393343419062027,0.0626450116009281,628
2019-01-31,"21662","MD","Easton","Talbot County","Royal Oak",15974,2031,-0.00684596577017115,-0.000492125984251968,-0.0378967314069162,536
2019-01-31,"31561","GA","Brunswick","Glynn County","Sea Island",15975,11630,0.0263877857205895,0.0973768635591621,-0.00487721399845983,905
2019-01-31,"57035","SD","Sioux Falls","Minnehaha County","Humboldt",15976,1124,0.02461257976299,0.0714966634890372,-0.020052310374891,404
2019-01-31,"56314","MN",,"Morrison County","Bowlus",15977,1290,-0.000774593338497289,-0.000774593338497289,0.0205696202531646,535
2019-01-31,"55753","MN","Grand Rapids","Itasca County","Keewatin",15978,883,-0.0156075808249721,-0.0422993492407809,-0.0646186440677966,560
2019-01-31,"03605","NH","Claremont-Lebanon","Sullivan County","Lempster",15979,1406,0.00428571428571429,0.0144300144300144,0.0571428571428571,849
2019-01-31,"21912","MD","Philadelphia-Camden-Wilmington","Cecil County","Warwick",15980,1556,-0.00320307495195388,-0.00447856685860525,0.0325149303251493,545
2019-01-31,"51577","IA","Omaha-Council Bluffs","Pottawattamie County","Walnut",15981,950,-0.0104166666666667,0.00210970464135021,0.0248112189859763,494
2019-01-31,"56580","MN","Fargo","Clay County","Sabin",15982,1310,0.00691775557263643,0.0155038759689922,0.0115830115830116,418
2019-01-31,"95636","CA","Sacramento--Roseville--Arden-Arcade","El Dorado County","Somerset",15983,1609,0.00499687695190506,0.016424510423247,-0.0146968769136558,467
2019-01-31,"46340","IN","Michigan City-La Porte","La Porte County","Hanna",15984,968,-0.031031031031031,-0.0719079578139981,-0.0780952380952381,571
2019-01-31,"55929","MN","Rochester","Olmsted County","Dover",15985,1436,0.000696864111498258,0.0041958041958042,0.0264474624731951,439
2019-01-31,"54427","WI","Wausau","Marathon County","Eland",15986,976,0.0145530145530146,0.030623020063358,-0.0336633663366337,459
2019-01-31,"53582","WI","Madison","Iowa County","Ridgeway",15987,1162,0.0104347826086957,0.0459045904590459,0.0121951219512195,463
2019-01-31,"47847","IN","Terre Haute","Vermillion County","Dana",15988,736,0.00272479564032698,0.00960219478737997,-0.010752688172043,415
2019-01-31,"03853","NH",,"Carroll County","Tuftonboro",15989,1914,-0.003125,-0.0154320987654321,-0.0113636363636364,438
2019-01-31,"53506","WI","Madison","Iowa County","Avoca",15990,1026,0.0219123505976096,0.0766002098635887,0.0523076923076923,440
2019-01-31,"21657","MD","Baltimore-Columbia-Towson","Queen Annes County","Queen Anne",15991,1659,0.00181159420289855,0.0247066090179123,0.00851063829787234,564
2019-01-31,"29037","SC","Newberry","Newberry County","Chappells",15992,1147,-0.00260869565217391,-0.00778546712802768,-0.0279661016949153,415
2019-01-31,"46987","IN","Marion","Grant County","Sweetser",15993,923,0.00984682713347921,0.0301339285714286,-0.0191285866099894,458
2019-01-31,"08317","NJ","Atlantic City-Hammonton","Atlantic County","Weymouth",15994,1504,0.00266666666666667,0.018970189701897,-0.00463269358041032,445
2019-01-31,"46301","IN","Chicago-Naperville-Elgin","Porter County","Beverly Shores",15995,2227,-0.0325803649000869,-0.084669132757912,-0.0627104377104377,568
2019-01-31,"50106","IA","Marshalltown","Marshall County","Gilman",15996,841,0.00238379022646007,0.00598086124401914,-0.0266203703703704,533
2019-01-31,"54836","WI","Duluth","Douglas County","Foxboro",15997,1093,0.0340586565752129,0.0973895582329317,0.00923361034164358,544
2019-01-31,"66023","KS","Atchison","Atchison County","Effingham",15998,922,-0.0170575692963753,-0.0345549738219895,0.00655021834061135,400
2019-01-31,"81233","CO","Cañon City","Fremont County","Howard",15999,1433,0.0243030736240172,0.070201643017177,0.125687352710134,408
2019-01-31,"49818","MI","Escanaba","Delta County","Cornell",16000,971,0.0104058272632674,0.0520043336944745,0.0600436681222707,616
2019-01-31,"03740","NH","Claremont-Lebanon","Grafton County","Bath",16001,1298,-0.0053639846743295,-0.020377358490566,0.042570281124498,474
2019-01-31,"21636","MD",,"Caroline County","Goldsboro",16002,1414,0.00426136363636364,0.01,0.0246376811594203,526
2019-01-31,"47955","IN","Crawfordsville","Montgomery County","Linden",16003,885,0.0125858123569794,0.0375146541617819,0.0114285714285714,584
2019-01-31,"97011","OR","Portland-Vancouver-Hillsboro","Clackamas County","Brightwood",16004,1717,0.00703812316715543,0.0337146297411198,0.0135773317591499,489
2019-01-31,"46348","IN","Michigan City-La Porte","La Porte County","La Crosse",16005,904,0.0100558659217877,0.0548424737456243,0.034324942791762,565
2019-01-31,"56010","MN","Mankato-North Mankato","Blue Earth County","Amboy",16006,1324,0.00227100681302044,0.0216049382716049,0.0738037307380373,465
2019-01-31,"95306","CA",,"Mariposa County","Catheys Valley",16007,1701,0.00710479573712256,0.0296610169491525,0.00829875518672199,421
2019-01-31,"68633","NE","Fremont","Dodge County","Dodge",16008,1104,0.00181488203266788,0.00454959053685168,0.0147058823529412,442
2019-01-31,"49835","MI","Escanaba","Delta County","Garden",16009,951,0.012779552715655,0.0543237250554324,0.063758389261745,646
2019-01-31,"03875","NH",,"Carroll County","Madison",16010,1548,-0.0127551020408163,-0.0227272727272727,0.0939929328621908,479
2019-01-31,"56524","MN","Fergus Falls","Otter Tail County","Clitherall",16011,1344,0.00298507462686567,0.00825206301575394,-0.0146627565982405,672
2019-01-31,"21671","MD","Easton","Talbot County","Tilghman",16012,1585,0.0400262467191601,0.116197183098592,0.0285528877352369,796
2019-01-31,"53069","WI","Milwaukee-Waukesha-West Allis","Waukesha County","Okauchee",16013,2116,-0.00610615312353217,0.00236854571293226,-0.0153559795253606,416
2019-01-31,"56578","MN",,"Becker County","Rochert",16014,1461,0.0188284518828452,0.058695652173913,0.0571635311143271,604
2019-01-31,"49268","MI","Adrian","Lenawee County","Palmyra",16015,1085,0.00370027752081406,0.0130718954248366,-0.00367309458218549,668
2019-01-31,"37710","TN","Knoxville","Anderson County","Briceville",16016,828,0.0209617755856967,0.0629011553273428,0.06426735218509,583
2019-01-31,"21869","MD","Cambridge","Dorchester County","Vienna",16017,1295,0.013302034428795,0.0393258426966292,0.0409967845659164,715
2019-01-31,"94970","CA","San Francisco-Oakland-Hayward","Marin County","Stinson Beach",16018,8162,-0.00134589502018843,-0.0119840213049268,-0.0841561938958708,601
2019-01-31,"17006","PA","Harrisburg-Carlisle","Perry County","Toboyne",16019,1035,0.00975609756097561,0.0381143430290873,0.033966033966034,423
2019-01-31,"70397","LA","Houma-Thibodaux","Terrebonne Parish","Theriot",16020,1031,-0.0162213740458015,-0.0567246111619396,-0.0956140350877193,400
2019-01-31,"97823","OR",,"Gilliam County","Condon",16021,1296,0.0180675569520817,0.0657894736842105,0.0562347188264059,442
2019-01-31,"20674","MD","California-Lexington Park","Saint Marys County","Piney Point",16022,1675,0.0139225181598063,0.0462211118051218,0.0384376937383757,618
2019-01-31,"68456","NE","Lincoln","Seward County","Utica",16023,1136,0,0.0017636684303351,0.0317892824704814,470
2019-01-31,"98555","WA","Shelton","Mason County","Lilliwaup",16024,1386,0.012417823228634,0.0436746987951807,0.0965189873417722,418
2019-01-31,"20680","MD","California-Lexington Park","Saint Marys County","Ridge",16025,1574,0.0109184328837508,0.0214146658014276,-0.0119271814187068,599
2019-01-31,"51004","IA","Sioux City","Woodbury County","Anthon",16026,851,0.00591016548463357,0.021608643457383,-0.0240825688073395,455
2019-01-31,"46057","IN","Frankfort","Clinton County","Michigantown",16027,1023,0.00491159135559921,0.00491159135559921,-0.0403377110694184,443
2019-01-31,"61770","IL","Bloomington","McLean County","Saybrook",16028,892,-0.00111982082866741,0.00677200902934537,-0.0230010952902519,418
2019-01-31,"49725","MI","Sault Ste. Marie","Chippewa County","De Tour Village",16029,1035,0.00680933852140078,0.0319042871385842,0.0648148148148148,678
2019-01-31,"55724","MN","Duluth","Saint Louis County","Cotton",16030,1030,0.000971817298347911,-0.0199809705042816,0.0607621009268795,549
2019-01-31,"54932","WI","Fond du Lac","Fond du Lac County","Eldorado",16031,960,-0.0293225480283114,-0.111111111111111,0.032258064516129,403
2019-01-31,"93529","CA",,"Mono County","June Lake",16032,2028,0.00197628458498024,0.012987012987013,-0.00294985250737463,835
2019-01-31,"56661","MN","Grand Rapids","Itasca County","Northome",16033,1161,-0.0127551020408163,-0.0276381909547739,0.019315188762072,445
2019-01-31,"91008","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Bradbury",16034,7465,0.00538720538720539,0.0112435654294229,0.029939293598234,431
2019-01-31,"83868","ID",,"Shoshone County","Smelterville",16035,920,0.029082774049217,0.0887573964497041,0.112454655380895,430
2019-01-31,"36749","AL","Montgomery","Autauga County","Jones",16036,982,-0.0400782013685239,-0.105646630236794,-0.0120724346076459,600
2019-01-31,"52341","IA","Cedar Rapids","Linn County","Toddville",16037,1606,-0.0080296479308215,-0.0354354354354354,0.143060498220641,437
2019-01-31,"54027","WI","Minneapolis-St. Paul-Bloomington","Saint Croix County","Wilson",16038,1447,0.0104748603351955,0.0500725689404935,0.0569758948137326,525
2019-01-31,"92358","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Lytle Creek",16039,1445,0.0168895144264602,0.0440751445086705,0.0711638250555967,411
2019-01-31,"46365","IN","Michigan City-La Porte","La Porte County","Mill Creek",16040,930,-0.0481064483111566,-0.145220588235294,-0.148351648351648,489
2019-01-31,"62219","IL","St. Louis","Clinton County","Beckemeyer",16041,934,0,0.00646551724137931,-0.0250521920668058,403
2019-01-31,"55781","MN","Duluth","Saint Louis County","Side Lake",16042,1293,0.00544323483670296,-0.000772797527047913,0.0327476038338658,608
2019-01-31,"52053","IA","Dubuque","Dubuque County","Holy Cross",16043,1038,0.00581395348837209,0.0236686390532544,0.0723140495867769,489
2019-01-31,"80515","CO","Fort Collins","Larimer County","Drake",16044,1486,0.0101971447994562,0.0297990297990298,0.0584045584045584,739
2019-01-31,"43525","OH","Toledo","Wood County","Haskins",16045,1448,0.0538573508005822,0.178193653376729,0.00138312586445367,454
2019-01-31,"61729","IL","Peoria","Woodford County","Congerville",16046,1441,0.00981079187105816,0.0366906474820144,0.0147887323943662,422
2019-01-31,"03282","NH","Claremont-Lebanon","Grafton County","Wentworth",16047,1372,0.00439238653001464,0.014792899408284,0.0409711684370258,427
2019-01-31,"63785","MO","Cape Girardeau","Cape Girardeau County","Whitewater",16048,905,0.0249150622876557,0.0710059171597633,0.0597189695550351,842
2019-01-31,"56016","MN","Albert Lea","Freeborn County","Clarks Grove",16049,1066,-0.00373831775700935,-0.0065237651444548,0.00661000944287063,442
2019-01-31,"73458","OK","Ardmore","Carter County","Springer",16050,835,-0.0188014101057579,-0.0670391061452514,-0.0301974448315912,564
2019-01-31,"05039","VT","Claremont-Lebanon","Orange County","Corinth",16051,1555,0.0380507343124166,0.127628716461204,0.0981638418079096,476
2019-01-31,"47968","IN","Crawfordsville","Montgomery County","New Ross",16052,935,0.0119047619047619,0.0320088300220751,-0.040041067761807,488
2019-01-31,"60959","IL","Champaign-Urbana","Ford County","Piper City",16053,1086,-0.00821917808219178,-0.014519056261343,-0.0329474621549421,419
2019-01-31,"51052","IA","Sioux City","Woodbury County","Salix",16054,1131,-0.00440140845070423,-0.0207792207792208,0.0253853127833182,405
2019-01-31,"80428","CO","Steamboat Springs","Routt County","Clark",16055,1926,0.003125,0.00417101147028154,-0.157848710100568,441
2019-01-31,"66035","KS","St. Joseph","Doniphan County","Highland",16056,785,-0.00632911392405063,-0.00380710659898477,-0.0450121654501217,403
2019-01-31,"92268","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Landers",16057,1381,-0.0114531138153185,-0.000723589001447178,0.0747081712062257,400
2019-01-31,"49276","MI","Adrian","Lenawee County","Riga",16058,1216,0.0158730158730159,0.0592334494773519,0.0305084745762712,603
2019-01-31,"21711","MD","Hagerstown-Martinsburg","Washington County","Big Pool",16059,1102,0.0495238095238095,0.147916666666667,-0.0324846356453029,528
2019-01-31,"51542","IA","Omaha-Council Bluffs","Pottawattamie County","Honey Creek",16060,1186,-0.0278688524590164,-0.0489174017642342,-0.183757742601514,406
2019-01-31,"93517","CA",,"Mono County","Bridgeport",16061,1604,0.00627352572145546,0.0236119974473516,0.0355067785668173,900
2019-01-31,"21779","MD","Hagerstown-Martinsburg","Washington County","Rohrersville",16062,1362,-0.022254127781766,-0.0541666666666667,0.0412844036697248,464
2019-01-31,"04455","ME","Bangor","Penobscot County","Lee",16063,956,-0.0816522574447646,-0.1959629941127,-0.11317254174397,444
2019-01-31,"03284","NH","Claremont-Lebanon","Sullivan County","Springfield",16064,1562,-0.00509554140127389,-0.0126422250316056,-0.163811563169165,639
2019-01-31,"21856","MD","Salisbury","Wicomico County","Quantico",16065,1196,0.010989010989011,0.040905134899913,0.0500438981562774,732
2019-01-31,"44887","OH","Bucyrus","Crawford County","Tiro",16066,894,0,0.0090293453724605,0.00111982082866741,415
2019-01-31,"21659","MD","Cambridge","Dorchester County","Galestown",16067,1358,0.0111690245718541,0.0382262996941896,0.0502706883217324,461
2019-01-31,"63039","MO","St. Louis","Franklin County","Gray Summit",16068,849,-0.0116414435389988,-0.036322360953462,-0.0406779661016949,429
2019-01-31,"83846","ID",,"Shoshone County","Wallace",16069,949,0.0171489817792069,0.0615212527964206,0.1270783847981,508
2019-01-31,"96148","CA","Sacramento--Roseville--Arden-Arcade","Placer County","Tahoe Vista",16070,2442,-0.0200642054574639,-0.0657995409334353,-0.022417934347478,705
2019-01-31,"28775","NC",,"Macon County","Scaly Mountain",16071,1342,0.0113036925395629,0.0427350427350427,0.0727418065547562,478
2019-01-31,"80456","CO","Denver-Aurora-Lakewood","Park County","Jefferson",16072,1572,0.00833867864015394,0.0241042345276873,0.0536193029490617,927
2019-01-31,"63732","MO","Cape Girardeau","Cape Girardeau County","Altenburg",16073,962,0.0266808964781217,0.0629834254143646,0.0665188470066519,451
2019-01-31,"61774","IL","Bloomington","McLean County","Stanford",16074,946,0.00852878464818763,0.0282608695652174,-0.0366598778004073,426
2019-01-31,"03457","NH","Keene","Cheshire County","Nelson",16075,1623,0.00807453416149068,0.0291693088142042,0.0194723618090452,468
2019-01-31,"49934","MI","Houghton","Houghton County","Hubbell",16076,852,0.00590318772136954,0.0492610837438424,0.0415647921760391,432
