"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,76347,"42378","KY","Owensboro","Daviess County","Whitesville",12922,111400,-0.0026857654431513,-0.0185022026431718,0.119597989949749,0.045686490668968,0.0301144644594897,"2018-10","2018-Q4",113500,-0.0185022026431718,"2018-09"
2019-01-31,93209,"80019","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",12923,351200,0.00228310502283105,0.0218213558335758,0.101285669488868,0.110021417714466,0.0663720687618714,"2019-01","2019-Q1",351200,0,"2019-01"
2019-01-31,59297,"04008","ME","Portland-South Portland","Sagadahoc County","Bowdoinham",12924,211500,0.00714285714285714,0.0312042905899561,0.0941541645111226,0.0581918465349611,0.0248286013030559,"2019-01","2019-Q1",211500,0,"2019-01"
2019-01-31,64420,"16038","PA","Pittsburgh","Butler County","Marion",12925,111000,-0.00269541778975741,-0.0288713910761155,0.00634632819582956,0.0233526945796909,0.022795775778482,"2018-07","2018-Q3",119500,-0.0711297071129707,"2018-02"
2019-01-31,67380,"22734","VA","Washington-Arlington-Alexandria","Fauquier County","Remington",12926,267500,0.00905318747642399,0.0245116813481425,0.162033014769765,0.0503944568674948,0.0276721831242701,"2006-06","2006-Q2",318500,-0.160125588697017,"2005-04"
2019-01-31,69537,"27839","NC","Roanoke Rapids","Halifax County","Halifax",12927,54600,-0.00364963503649635,-0.021505376344086,-0.00182815356489945,0.00787498851789215,-0.00670561704347505,"2007-04","2007-Q2",63000,-0.133333333333333,"2005-08"
2019-01-31,77242,"44626","OH","Canton-Massillon","Stark County","East Sparta",12928,114800,-0.0069204152249135,-0.00433651344319167,0.113482056256062,0.0696103757250688,0.0244093531614127,"2018-11","2018-Q4",116100,-0.0111972437553833,"2018-10"
2019-01-31,82813,"56358","MN",,"Kanabec County","Ogilvie",12929,185800,0.00053850296176629,0.00759219088937093,0.170025188916877,0.0851149586605204,0.0387814816703238,"2019-01","2019-Q1",185800,0,"2019-01"
2019-01-31,74191,"37134","TN",,"Humphreys County","New Johnsonville",12930,107400,0.00656044985941893,0.0160832544938505,0.0837537840565086,0.0604113147058298,0.0231861222744574,"2019-01","2019-Q1",107400,0,"2019-01"
2019-01-31,80635,"51109","IA","Sioux City","Woodbury County","Sioux City",12931,95500,0.00209863588667366,0.0116525423728814,0.070627802690583,0.0459134953987426,0.0236421436327559,"2019-01","2019-Q1",95500,0,"2019-01"
2019-01-31,90506,"74733","OK","Durant","Bryan County","Colbert",12932,90100,0.00111111111111111,0.0180790960451977,0.144853875476493,0.0542017657434297,0.0336703308773409,"2019-01","2019-Q1",90100,0,"2019-01"
2019-01-31,91403,"76449","TX","Mineral Wells","Palo Pinto County","Graford",12933,295500,0.0217842323651452,0.0214310404424473,0.0504799146818343,0.0302433434812441,0.0189177785662908,"2019-01","2019-Q1",295500,0,"2019-01"
2019-01-31,68189,"24527","VA","Danville","Pittsylvania County","Blairs",12934,116700,0.00171673819742489,0.0165505226480836,0.0657534246575342,0.0336533414274365,0.00474896887978793,"2010-07","2010-Q3",118300,-0.0135249366018597,"2010-04"
2019-01-31,80954,"52338","IA","Iowa City","Johnson County","Swisher",12935,306900,-0.00227568270481144,-0.00583090379008746,0.0243658210947931,0.0504933997850057,0.0267476808965936,"2018-08","2018-Q3",310800,-0.0125482625482625,"2018-06"
2019-01-31,90066,"73541","OK","Lawton","Comanche County","Fletcher",12936,115900,0.00259515570934256,0.046973803071364,0.120889748549323,0.0438891052672479,0.0242568091154629,"2019-01","2019-Q1",115900,0,"2019-01"
2019-01-31,81663,"54414","WI","Shawano","Shawano County","Birnamwood",12937,119100,-0.00167644593461861,0.00676246830092984,0.0284974093264249,0.0516231912622742,0.0132605313344558,"2004-10","2004-Q4",120200,-0.00915141430948419,"2004-09"
2019-01-31,95794,"89085","NV","Las Vegas-Henderson-Paradise","Clark County","North Las Vegas",12938,342900,0.000875656742556918,0.0109080188679245,0.0944781359719119,0.0723640289592282,0.0353362189213626,"2006-06","2006-Q2",423000,-0.18936170212766,"2004-08"
2019-01-31,98112,"95328","CA","Modesto","Stanislaus County","Keyes",12939,231700,0.0082680591818973,0.0474683544303797,0.155034895314058,0.117584090164402,0.051370755275667,"2006-07","2006-Q3",298200,-0.223004694835681,"2004-11"
2019-01-31,69576,"27880","NC","Wilson","Wilson County","Sims",12940,194500,-0.00307534597642235,0.00464876033057851,0.121037463976945,0.0403449029322087,0.0186405453438412,"2018-12","2018-Q4",195100,-0.00307534597642235,"2018-11"
2019-01-31,79649,"49266","MI","Hillsdale","Hillsdale County","Osseo",12941,142000,0.00709219858156028,0.0526315789473684,0.1620294599018,0.0655002626978338,0.026895017025149,"2019-01","2019-Q1",142000,0,"2019-01"
2019-01-31,81163,"53036","WI","Watertown-Fort Atkinson","Jefferson County","Ixonia",12942,280800,0.012987012987013,0.0357801549243821,0.121853775469437,0.0571239755077229,0.0249348442285566,"2019-01","2019-Q1",280800,0,"2019-01"
2019-01-31,89110,"71461","LA","Fort Polk South","Vernon Parish","New Llano",12943,86500,-0.0148063781321185,-0.0302690582959641,-0.0214932126696833,0.0314295744703821,0.0248085589619933,"2018-09","2018-Q3",89800,-0.0367483296213808,"2017-10"
2019-01-31,60573,"07064","NJ","New York-Newark-Jersey City","Middlesex County","Woodbridge",12944,301000,0.00770003347840643,0.0224184782608696,0.115227862171175,0.0499478073697177,0.00466919676227584,"2006-08","2006-Q3",337900,-0.109203906481207,"2005-07"
2019-01-31,59224,"03826","NH","Boston-Cambridge-Newton","Rockingham County","East Hampstead",12945,330100,0.00548279013097776,0.0194564546016059,0.0593709884467266,0.0538101118655272,0.0237655273017561,"2019-01","2019-Q1",330100,0,"2019-01"
