"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"44256","OH","Cleveland-Elyria","Medina County","Medina",160,1574,0.014829142488717,0.0577956989247312,0.0109184328837508,21336
2019-01-31,"02148","MA","Boston-Cambridge-Newton","Middlesex County","Malden",161,2225,0.0090702947845805,0.0348837209302326,0.00180099054479964,13808
2019-01-31,"65807","MO","Springfield","Greene County","Springfield",162,852,0.00828402366863905,0.0289855072463768,0.0390243902439024,16903
2019-01-31,"60620","IL","Chicago-Naperville-Elgin","Cook County","Chicago",163,1421,0.0070871722182849,0.0237752161383285,0.0433186490455213,16391
2019-01-31,"11373","NY","New York-Newark-Jersey City","Queens County","New York",164,2221,0.00135256988277728,0.00588768115942029,0.015546410608139,12665
2019-01-31,"95823","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Sacramento",165,1606,0.0126103404791929,0.0388098318240621,0.0421804023361454,16523
2019-01-31,"06902","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Stamford",166,2313,0.00390625,0.0180457746478873,0.0362903225806452,15541
2019-01-31,"92336","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Fontana",167,2278,0.00618374558303887,0.0165104863900045,0.0363967242948135,23473
2019-01-31,"45011","OH","Cincinnati","Butler County","Hamilton",168,1527,0.00526662277814352,0.0193591455273698,0.0220883534136546,22399
2019-01-31,"77845","TX","College Station-Bryan","Brazos County","College Station",169,1637,-0.0132610006027728,-0.053757225433526,-0.00304506699147381,18757
2019-01-31,"47906","IN","Lafayette-West Lafayette","Tippecanoe County","West Lafayette",170,1357,0.019534184823441,0.0659858601728201,0.0295902883156297,12810
2019-01-31,"27410","NC","Greensboro-High Point","Guilford County","Greensboro",171,1450,0.00834492350486787,0.0254596888260255,0.015406162464986,19349
2019-01-31,"30318","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",172,1458,0.0160278745644599,0.0673499267935578,0.0856291883842144,15778
2019-01-31,"65203","MO","Columbia","Boone County","Columbia",173,1253,0.00885668276972625,0.0372516556291391,-0.014162077104642,19651
2019-01-31,"30188","GA","Atlanta-Sandy Springs-Roswell","Cherokee County","Woodstock",174,1526,0.0126078301260783,0.0395095367847411,0.0366847826086957,23114
2019-01-31,"92345","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Hesperia",175,1373,0.00659824046920821,0.020817843866171,0.0284644194756554,21581
2019-01-31,"10028","NY","New York-Newark-Jersey City","New York County","New York",176,3426,0.00735077918259335,0.0217715478675813,0.013010053222945,17986
2019-01-31,"89121","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",177,1269,0.0127693535514765,0.041871921182266,0.0610367892976589,17072
2019-01-31,"46307","IN","Chicago-Naperville-Elgin","Lake County","Crown Point",178,1487,-0.000672043010752688,-0.00601604278074866,-0.0344155844155844,29133
2019-01-31,"07302","NJ","New York-Newark-Jersey City","Hudson County","Jersey City",179,2594,0.00231839258114374,0.0120952009364027,0.000771604938271605,17123
2019-01-31,"92804","CA","Los Angeles-Long Beach-Anaheim","Orange County","Anaheim",180,2726,0.00962962962962963,0.0302343159486017,0.0306238185255199,14537
2019-01-31,"08753","NJ","New York-Newark-Jersey City","Ocean County","Toms River",181,1895,0.0101279317697228,0.0298913043478261,-0.0171161825726141,24423
2019-01-31,"77450","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Cinco Ranch",182,1874,-0.00477960701009028,-0.00898995240613432,-0.0203868269733403,20328
2019-01-31,"99301","WA","Kennewick-Richland","Franklin County","Pasco",183,1355,0.0022189349112426,0.00968703427719821,0.00968703427719821,19462
2019-01-31,"60634","IL","Chicago-Naperville-Elgin","Cook County","Chicago",184,1872,0.0118918918918919,0.0463946338736724,0.0505050505050505,20380
