"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"33578","Riverview","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1519,1530,1550,1517,1525,1550,1600,1610,1587.5,1600,1550,1550,1575,1550,1597.5,1600,1650,1665,1675,1690,1650,1650,1650,1645,1650
"29229","Columbia","SC","Columbia","Richland County",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1397.5,1450,1550,1495,1495,1400,1450,1400,1400,1395,1380,1400,1435,1425,1425,1450,1450,1400,1450,1495,1425,1412.5
"65202","Columbia","MO","Columbia","Boone County",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,900,900,900,900,950,950,950,925,950,950,925,950,950,925,912.5,950,950,925,950,950,960,950,925
"30114","Canton","GA","Atlanta-Sandy Springs-Roswell","Cherokee County",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1517,1500,1550,1550,1550,1615,1600,1587.5,1577.5,1557.5,1575,1600,1582.5,1597.5,1595.5,1645,1645,1595,1595.5,1539,1512.5,1595,1602,1680,1685
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",106,2500,2500,2500,2562.5,2500,2650,2600,2600,2500,2500,2600,2600,2600,2600,2650,2700,2700,2700,2800,2600,2600,2600,2650,2700,2600,2600,2600,2700,2800,2750,2725,2700,2650,2650,2650,2650,2650,2650,2600,2590,2699,2750,2800,2775,2750,2750,2700,2700,2700,2800,2825,2800,2900,3000,2850,2900,2950,3000,2900,2900,2900,2900,2950,2950,3000,2800,2850,2874.5,2950,2899.5,2850,2750,2800,2850,2900,2870,2800,2950,2992.5,2900,2900,2900,2900,2925,2900,2900,3000,3000,3000,2980,2980,2950,2950,2950,2950,2900,2900
"75071","McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1795,1900,1950,1950,1950,1900,1895,1895,1837.5,1812.5,1850,1850,1850,1900,1900,1895,1995,1995,1972.5,1925,1875,1975,1950,1995,1995
"75068","Little Elm","TX","Dallas-Fort Worth-Arlington","Denton County",108,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1650,1600,1625,1650,1597.5,1612.5,1600,1597.5,1597.5,1600,1597.5,1600,1650,1697.5,1650,1650,1695,1695,1700,1750,1795,1700,1737.5,1697.5,1750,1795,1795,1850,1850,1800,1785,1820,1872.5,1825,1850,1822.5,2000,1795,1750,1897.5,1850,1925,1800,1795,1795,1850,1800,1950,1995,1900,1950,1900,1900,1895,1850,1850,1850,1950,1950,1987.5,1950,1950,1895,1990,1945,1895,1900,1995,2112
"92618","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4175,4100,4100,4100,4000,4125,4175,4150,4200,4250,4000,4200,4195,4150,4400,4500,4500,4290,4450,4300,4350,4000,4100,4100
"92880","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",110,,,,,,,,,,,,,2300,2300,2300,2350,2300,2300,2300,2300,2300,2295,2300,2300,2300,2300,2300,2300,2290,2265,2300,2300,2300,2350,2300,2300,2300,2300,2300,2300,2300,2300,2365,2350,2300,2350,2300,2300,2300,2300,2300,2350,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,2437.5,2450,2400,2450,2500,2500,2300,2455,2500,2500,2499,2550,2550,2600,2568.5,2550,2550,2550,2550,2550,2500,2500,2500,2500,2595,2595,2600,2600,2600,2600,2600,2625,2600,2600,2600
"89129","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.5,1495,1495,1500,1495,1511,1612.5,1500,1495,1590,1587.5,1547.5,1500,1500,1550,1650,1650,1650,1590,1599,1595,1610,1672.5,1622.5,1600
"92253","La Quinta","CA","Riverside-San Bernardino-Ontario","Riverside County",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,5500,5500,5000,5500,5500,5000,5000,5250,5500,5650,5000,5000
"78258","San Antonio","TX","San Antonio-New Braunfels","Bexar County",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.5,2000,2097.5,2272,2283.5,2265,2265,2255,2325,2265,2395,2254,2089,2119.5,2195,2200,2195,2200,2283.5,2200,2287,2350,2250,2265,2295,2300,2295,2265
