"","Latitude","Longitude","Location"
"4066036",41.954180653,-87.676959967,"(41.954180653, -87.676959967)"
"4066061",41.96607814,-87.647153241,"(41.96607814, -87.647153241)"
"4066508",41.993673966,-87.655497959,"(41.993673966, -87.655497959)"
"4066575",41.795747541,-87.755756849,"(41.795747541, -87.755756849)"
"4066689",41.836808691,-87.730885744,"(41.836808691, -87.730885744)"
"4066955",41.823448774,-87.707636721,"(41.823448774, -87.707636721)"
"4067408",41.724634298,-87.632877531,"(41.724634298, -87.632877531)"
"4067452",41.967208117,-87.718219274,"(41.967208117, -87.718219274)"
"4067834",41.906684967,-87.635303024,"(41.906684967, -87.635303024)"
"4067839",NA,NA,""
"4067858",41.777911433,-87.711419522,"(41.777911433, -87.711419522)"
"4067924",41.851457258,-87.671969653,"(41.851457258, -87.671969653)"
"4067934",41.82023734,-87.69951253,"(41.82023734, -87.69951253)"
"4067971",41.912596423,-87.705730753,"(41.912596423, -87.705730753)"
"4068003",41.722710294,-87.555614181,"(41.722710294, -87.555614181)"
"4068142",41.707266045,-87.616941279,"(41.707266045, -87.616941279)"
"4068171",41.755397998,-87.563399873,"(41.755397998, -87.563399873)"
"4068408",41.762949512,-87.612777775,"(41.762949512, -87.612777775)"
"4068429",41.887659361,-87.677703791,"(41.887659361, -87.677703791)"
"4068431",41.814007401,-87.628331665,"(41.814007401, -87.628331665)"
"4068700",NA,NA,""
"4068801",41.769645488,-87.684599829,"(41.769645488, -87.684599829)"
