"","x"
"863","2001-09"
"864","2001-09"
"865","2001-09"
"866","2001-09"
"867","2001-09"
"868","2001-09"
"869","2001-09"
"870","2001-09"
"871","2001-09"
"872","2001-09"
"873","2001-09"
"874","2001-09"
"875","2001-09"
"876","2001-09"
"877","2001-09"
"878","2001-09"
"879","2001-09"
"880","2001-09"
"881","2001-10"
"882","2001-10"
"883","2001-10"
"884","2001-10"
"885","2001-10"
"886","2001-10"
"887","2001-10"
"888","2001-10"
"889","2001-10"
"890","2001-10"
"891","2001-10"
"892","2001-10"
"893","2001-10"
"894","2001-10"
"895","2001-10"
"896","2001-10"
"897","2001-10"
"898","2001-10"
"899","2001-10"
"900","2001-10"
"901","2001-10"
"902","2001-10"
"903","2001-10"
"904","2001-10"
"905","2001-10"
"906","2001-10"
"907","2001-10"
"908","2001-10"
"909","2001-10"
"910","2001-10"
"911","2001-10"
"912","2001-10"
"913","2001-10"
"914","2001-10"
"915","2001-10"
"916","2001-10"
"917","2001-10"
"918","2001-10"
"919","2001-10"
"920","2001-10"
"921","2001-10"
"922","2001-10"
"923","2001-10"
"924","2001-10"
"925","2001-10"
"926","2001-10"
"927","2001-10"
"928","2001-10"
"929","2001-10"
"930","2001-10"
"931","2001-10"
"932","2001-10"
"933","2001-10"
"934","2001-10"
"935","2001-10"
"936","2001-10"
"937","2001-10"
"938","2001-10"
"939","2001-10"
"940","2001-10"
"941","2001-10"
"942","2001-10"
"943","2001-10"
"944","2001-10"
"945","2001-10"
"946","2001-10"
"947","2001-10"
"948","2001-10"
"949","2001-10"
"950","2001-11"
"951","2001-11"
"952","2001-11"
"953","2001-11"
"954","2001-11"
"955","2001-11"
"956","2001-11"
"957","2001-11"
"958","2001-11"
"959","2001-11"
"960","2001-11"
"961","2001-11"
"962","2001-11"
"963","2001-11"
"964","2001-11"
"965","2001-11"
"966","2001-11"
"967","2001-11"
"968","2001-11"
"969","2001-11"
"970","2001-11"
"971","2001-11"
"972","2001-11"
"973","2001-11"
"974","2001-11"
"975","2001-11"
"976","2001-11"
"977","2001-11"
"978","2001-11"
"979","2001-11"
"980","2001-11"
"981","2001-11"
"982","2001-11"
"983","2001-11"
"984","2001-11"
"985","2001-11"
"986","2001-11"
"987","2001-11"
"988","2001-11"
"989","2001-11"
"990","2001-11"
"991","2001-11"
"992","2001-11"
"993","2001-11"
"994","2001-11"
"995","2001-11"
"996","2001-11"
"997","2001-11"
"998","2001-11"
"999","2001-11"
"1000","2001-11"
"1001","2001-11"
"1002","2001-11"
"1003","2001-11"
"1004","2001-11"
"1005","2001-11"
"1006","2001-11"
"1007","2001-11"
"1008","2001-11"
"1009","2001-11"
"1010","2001-11"
"1011","2001-11"
"1012","2001-12"
"1013","2001-12"
"1014","2001-12"
"1015","2001-12"
"1016","2001-12"
"1017","2001-12"
"1018","2001-12"
"1019","2001-12"
"1020","2001-12"
"1021","2001-12"
"1022","2001-12"
"1023","2001-12"
"1024","2001-12"
"1025","2001-12"
"1026","2001-12"
