"","Latitude","Longitude","Location"
"2007920",41.809196644,-87.706429259,"(41.809196644, -87.706429259)"
"2007937",41.697958905,-87.630984694,"(41.697958905, -87.630984694)"
"2007953",41.949722481,-87.750935505,"(41.949722481, -87.750935505)"
"2007972",41.889951856,-87.716529717,"(41.889951856, -87.716529717)"
"2007994",41.685120177,-87.638991784,"(41.685120177, -87.638991784)"
"2008007",41.95394778,-87.703483391,"(41.95394778, -87.703483391)"
"2008008",41.777691298,-87.608326947,"(41.777691298, -87.608326947)"
"2008025",41.768670211,-87.655888673,"(41.768670211, -87.655888673)"
"2008042",41.855013048,-87.722881745,"(41.855013048, -87.722881745)"
"2008056",41.718761092,-87.649215524,"(41.718761092, -87.649215524)"
"2008067",41.863842903,-87.722661927,"(41.863842903, -87.722661927)"
"2008083",41.899456567,-87.767984346,"(41.899456567, -87.767984346)"
"2008103",41.793399164,-87.643919173,"(41.793399164, -87.643919173)"
"2008123",41.870113358,-87.699335813,"(41.870113358, -87.699335813)"
"2008148",41.876910723,-87.739876309,"(41.876910723, -87.739876309)"
"2008198",41.798984515,-87.647710137,"(41.798984515, -87.647710137)"
"2008199",41.813112192,-87.610576113,"(41.813112192, -87.610576113)"
"2008234",41.903723642,-87.688276949,"(41.903723642, -87.688276949)"
"2008254",41.7357172,-87.606150247,"(41.7357172, -87.606150247)"
"2008276",41.862420869,-87.713347237,"(41.862420869, -87.713347237)"
"2008292",41.806695917,-87.67395607,"(41.806695917, -87.67395607)"
"2008312",41.9072231,-87.731337286,"(41.9072231, -87.731337286)"
"2008357",41.906899902,-87.640888264,"(41.906899902, -87.640888264)"
"2008379",41.867532404,-87.685325655,"(41.867532404, -87.685325655)"
"2008411",41.771491244,-87.588483694,"(41.771491244, -87.588483694)"
"2008412",41.762236675,-87.659936931,"(41.762236675, -87.659936931)"
"2008422",41.660205626,-87.555631154,"(41.660205626, -87.555631154)"
"2008438",41.749135591,-87.685268108,"(41.749135591, -87.685268108)"
"2008451",41.778094523,-87.59922275,"(41.778094523, -87.59922275)"
"2008474",41.779852863,-87.610792057,"(41.779852863, -87.610792057)"
